exp
0,"[-10, -7]"
1,"[-10, -7]"
2,"[-7, -6]"
3,"[-10, -8]"
4,"[-6, -10]"
5,"[-7, -6]"
6,"[-7, -8]"
7,"[-6, -8]"
8,"[-9, -10]"
9,"[-6, -8]"
10,"[-6, -7]"
11,"[-8, -10]"
12,"[-8, -10]"
13,"[-6, -9]"
14,"[-10, -7]"
15,"[-10, -7]"
16,"[-10, -6]"
17,"[-8, -7]"
18,"[-7, -6]"
19,"[-10, -7]"
20,"[-9, -7]"
21,"[-10, -7]"
22,"[-8, -6]"
23,"[-7, -6]"
24,"[-9, -10]"
25,"[-7, -8]"
26,"[-9, -7]"
27,"[-8, -9]"
28,"[-6, -8]"
29,"[-8, -6]"
30,"[-9, -8]"
31,"[-10, -7]"
32,"[-6, -7]"
33,"[-8, -10]"
34,"[-6, -7]"
35,"[-10, -6]"
36,"[-9, -7]"
37,"[-9, -7]"
38,"[-10, -7]"
39,"[-8, -7]"
40,"[-7, -6]"
41,"[-9, -7]"
42,"[-8, -9]"
43,"[-9, -7]"
44,"[-8, -6]"
45,"[-9, -6]"
46,"[-8, -7]"
47,"[-6, -9]"
48,"[-6, -9]"
49,"[-7, -6]"
50,"[-7, -8]"
51,"[-9, -8]"
52,"[-10, -8]"
53,"[-6, -8]"
54,"[-9, -6]"
55,"[-6, -10]"
56,"[-9, -10]"
57,"[-6, -9]"
58,"[-10, -6]"
59,"[-8, -6]"
60,"[-10, -9]"
61,"[-6, -9]"
62,"[-6, -8]"
63,"[-9, -8]"
64,"[-7, -10]"
65,"[-9, -10]"
66,"[-9, -7]"
67,"[-7, -8]"
68,"[-8, -6]"
69,"[-7, -10]"
70,"[-7, -8]"
71,"[-7, -6]"
72,"[-7, -6]"
73,"[-8, -7]"
74,"[-7, -8]"
75,"[-9, -8]"
76,"[-7, -9]"
77,"[-8, -7]"
78,"[-7, -9]"
79,"[-6, -9]"
80,"[-6, -9]"
81,"[-10, -8]"
82,"[-6, -10]"
83,"[-9, -8]"
84,"[-8, -9]"
85,"[-9, -8]"
86,"[-7, -9]"
87,"[-9, -8]"
88,"[-9, -7]"
89,"[-8, -10]"
90,"[-9, -8]"
91,"[-9, -8]"
92,"[-6, -8]"
93,"[-6, -9]"
94,"[-8, -7]"
95,"[-6, -10]"
96,"[-10, -6]"
97,"[-9, -6]"
98,"[-6, -10]"
99,"[-7, -9]"
0,"[-3, -4]"
1,"[-1, 3]"
2,"[-4, 3]"
3,"[2, 4]"
4,"[1, 0]"
5,"[-1, 0]"
6,"[-2, -1]"
7,"[1, -2]"
8,"[-1, -5]"
9,"[4, 1]"
10,"[2, -5]"
11,"[-4, 4]"
12,"[3, 0]"
13,"[4, -3]"
14,"[0, -2]"
15,"[1, 2]"
16,"[3, -5]"
17,"[-1, -4]"
18,"[2, -5]"
19,"[1, -4]"
20,"[-3, 4]"
21,"[-4, 4]"
22,"[4, -1]"
23,"[2, 0]"
